     id          lon          lat     m               t year mo da ho mi    se flag  parent founder            prob
      1   -0.6500000   38.0670000   4.4       4.1154861 1970  1  5  2 46 18.00    2       1       1       1.0000000
      2   -4.1720000   36.2470000   3.6      10.6542593 1970  1 11 15 42  8.00    2       2       2       1.0000000
      3   -4.7650000   36.2180000   4.4      15.5531597 1970  1 16 13 16 33.00    2       3       3       1.0000000
      4   -5.5230000   36.6420000   3.5      35.8633681 1970  2  5 20 43 15.00    2       4       4       1.0000000
      5   -5.0280000   36.4620000   3.8      61.2274306 1970  3  3  5 27 30.00   -1       5       5       1.0000000
      6   -5.0670000   36.3280000   3.5      61.2454745 1970  3  3  5 53 29.00   -1       5       5       1.0000000
      7   -5.2380000   36.3350000   3.9      61.2551389 1970  3  3  6  7 24.00    2       6       5       1.0000000
      8   -5.2520000   36.7280000   4.0      62.4083681 1970  3  4  9 48  3.00   -1       8       8       1.0000000
      9   -5.2500000   36.7170000   4.2      62.8926157 1970  3  4 21 25 22.00    2       8       8       1.0000000
     10   -5.2500000   36.7170000   3.2      62.8985301 1970  3  4 21 33 53.00    1       9       8       1.0000000
     11   -5.2500000   36.7170000   3.9      62.9034722 1970  3  4 21 41  0.00    1       9       8       1.0000000
     12   -5.2500000   36.7170000   3.2      62.9059375 1970  3  4 21 44 33.00    1      11       8       1.0000000
     13   -5.2500000   36.7170000   4.2      62.9152083 1970  3  4 21 57 54.00    1       9       8       1.0000000
     14   -5.2500000   36.7170000   3.7      62.9784259 1970  3  4 23 28 56.00    1      13       8       1.0000000
     15   -3.5430000   36.3780000   4.3      70.0492477 1970  3 12  1 10 55.00    2      15      15       1.0000000
     16   -1.2980000   36.8530000   3.4      74.5452315 1970  3 16 13  5  8.00    2      16      16       1.0000000
     17   -1.8930000   38.3570000   3.2      79.1901042 1970  3 21  4 33 45.00    2      17      17       1.0000000
     18   -2.5000000   36.7000000   3.8     200.4575926 1970  7 20 10 58 56.00    2      18      18       1.0000000
     19   -3.5970000   36.5020000   3.3     211.9890741 1970  7 31 23 44 16.00    2      19      19       1.0000000
     20   -6.0880000   36.0150000   3.7     239.4411458 1970  8 28 10 35 15.00    2      20      20       1.0000000
     21   -4.4100000   36.2380000   3.8     242.5388426 1970  8 31 12 55 56.00    2      21      21       1.0000000
     22   -0.4500000   38.4170000   3.3     251.1866898 1970  9  9  4 28 50.00    2      22      22       1.0000000
     23   -1.5500000   37.7670000   3.3     263.2795718 1970  9 21  6 42 35.00    2      23      23       1.0000000
     24   -0.4850000   39.0870000   3.3     267.0434375 1970  9 25  1  2 33.00    2      24      24       1.0000000
     25   -4.7880000   36.5080000   3.9     276.1602662 1970 10  4  3 50 47.00    2      25      25       1.0000000
     26   -0.6930000   37.7450000   4.4     376.2133449 1971  1 12  5  7 13.00    2      26      26       1.0000000
     27   -0.4850000   38.0970000   3.5     390.1724190 1971  1 26  4  8 17.00    2      27      27       1.0000000
     28   -3.8520000   36.2480000   3.4     399.9019792 1971  2  4 21 38 51.00    2      28      28       1.0000000
     29   -3.7520000   36.9920000   3.4     402.0302662 1971  2  7  0 43 35.00    2      29      29       1.0000000
     30    0.4150000   39.3850000   3.9     415.0065972 1971  2 20  0  9 30.00    2      30      30       1.0000000
     31   -0.7880000   39.1870000   3.9     447.9141319 1971  3 24 21 56 21.00    2      31      31       1.0000000
     32   -0.9400000   38.4670000   3.2     457.1051042 1971  4  3  2 31 21.00    2      32      32       1.0000000
     33   -3.8230000   36.8550000   4.5     485.4430440 1971  5  1 10 37 59.00    2      33      33       1.0000000
